"date","LSmission","month","doy","temp_avg","t_stdev","depth_avg","d_stdev","temp_med","insitu_count","HerrickCoveSouth_median","HerrickCoveSouth_mean","HerrickCoveSouth_std","HerrickCoveSouth_count","Newbury_median","Newbury_mean","Newbury_std","Newbury_count","NorthSunapeeHarbor_median","NorthSunapeeHarbor_mean","NorthSunapeeHarbor_std","NorthSunapeeHarbor_count","SouthOfTheFells_median","SouthOfTheFells_mean","SouthOfTheFells_std","SouthOfTheFells_count","loon_median","loon_mean","loon_std","loon_count","harbor_median","harbor_mean","harbor_std","harbor_count","GeorgesMills_median","GeorgesMills_mean","GeorgesMills_std","GeorgesMills_count","HerrickCove_median","HerrickCove_mean","HerrickCove_std","HerrickCove_count","StateBeach_median","StateBeach_mean","StateBeach_std","StateBeach_count","system:index","cloud_cover","earthsun_d","l_exceltime","pixel_count","sunazi","sunelev","surface_temp_max","surface_temp_mean","surface_temp_median","surface_temp_min","surface_temp_p25","surface_temp_p75","surface_temp_skew","surface_temp_stdDev","vapor_source",".geo","collection","freeze_QAQC","temp_spread","spread_QAQC","IQR","IQR_QAQC"
2006-09-11,"LS 5","09","254",18.93,NA,1.5,NA,18.93,1,18.93,18.93,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20060911",3,1.0066447,38971.6434978935,16780,149.88598224,47.44752268,21.77894588,15.7130467446198,15.8400243466831,11.92479422,15.1543309219692,16.3673787112223,-0.11512031242747,0.885142485877284,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",9.9,"P",1.2,"P"
2007-07-12,"LS 5","07","193",21.07,0.661110177403637,1.5,0,20.9,4,22.01,22.01,NA,1,20.83,20.83,NA,1,20.97,20.97,NA,1,20.47,20.47,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20070712",15,1.0165832,39275.6434687847,9759,131.99929322,61.91173813,31.85526884,21.3595172121846,21.3505730482346,19.0035136400001,20.7664191133427,21.9546182432435,1.51189479819857,1.04506361808772,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",12.9,"F",1.2,"P"
2007-08-05,"LS 7","08","217",24.9225,0.579676633995197,1.5,0,24.97,4,25.42,25.42,NA,1,25.42,25.42,NA,1,24.52,24.52,NA,1,24.33,24.33,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20070805",0,1.0144331,39299.6409673148,14640,135.72512738,57.13146774,30.17702102,24.6077605441772,24.6545362344696,21.9190847,24.3131310733324,24.6545362344696,2.78032554069089,0.496133167803243,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",8.3,"P",0.399999999999999,"P"
2007-08-13,"LS 5","08","225",23.7525,0.377392368762275,1.5,0,23.745,4,24.21,24.21,NA,1,23.85,23.85,NA,1,23.31,23.31,NA,1,23.64,23.64,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20070813",49,1.0131619,39307.6432451389,13639,139.75161244,55.7917812,32.1218744,24.0020530755992,24.0171336795249,21.72083954,23.3946792113692,24.1562896923968,2.11008422673069,0.851335699986476,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",10.4,"F",0.800000000000001,"P"
2007-09-14,"LS 5","09","257",19.643,0.200779038303858,0.9,0.516397779494322,19.75,10,19.71,19.71,NA,1,19.37,19.37,NA,1,19.67,19.67,NA,1,19.18,19.18,NA,1,19.75,19.75,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20070914",30,1.0059195,39339.643047419,17132,150.54677068,46.49819316,25.49433362,19.332277956595,19.1325947991996,18.38485202,18.9895812414676,19.7348788455646,2.57021563529923,0.533740215041523,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",7.1,"P",0.699999999999999,"P"
2007-11-25,"LS 7","11","329",5.96,0.0489897948556632,0.583333333333333,0.204124145231932,5.94,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.94,5.96,0.0489897948556632,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20071125",37,0.9871101,39411.6410390278,14923,161.08497004,23.81064777,6.22353686000002,4.19105860285017,4.45033918897747,0.34796048000004,4.08306292178528,4.45033918897747,-1.47272266912325,0.575691271868534,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",5.9,"P",0.4,"P"
2008-05-11,"LS 5","05","132",10.1283333333333,0.0904249228181407,0.5,0,10.09,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.09,10.1283333333333,0.09042492281814,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20080511",0,1.0101572,39579.6399402778,17134,137.91458057,59.17399627,23.63151272,11.2810293066571,10.8035114610529,9.00580514000001,10.2535427546453,11.7454900693048,2.1319844680883,1.71948994707879,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",14.6,"F",1.4,"P"
2008-06-12,"LS 5","06","164",20.35,0.041952353926806,0.5,0,20.35,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.35,20.35,0.0419523539268061,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20080612",1,1.015551,39611.6393478125,17134,130.20899042,62.82824199,28.5158633,20.5223902791813,20.3268142345238,16.7578745,19.7988393048633,21.4594188713396,0.0378157630919687,1.30740669024905,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",11.7,"F",1.7,"P"
2008-07-06,"LS 7","07","188",23.437,0.786201133439924,0.9,0.516397779494322,23.91,10,23.34,23.34,NA,1,21.99,21.99,NA,1,23.14,23.14,NA,1,22.13,22.13,NA,1,23.975,23.9616666666667,0.0483390801181266,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20080706",27,1.0166967,39635.6405555903,14068,129.5362263,61.85412354,33.29083724,25.0998335068988,25.1623090513382,21.88832252,24.7637388438312,25.5762712064074,2.07727035011859,1.02054146621052,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",11.4,"F",0.800000000000001,"P"
2008-08-15,"LS 5","08","228",21.9,0.134494940012212,0.9,0.516397779494322,21.925,10,21.84,21.84,NA,1,22.16,22.16,NA,1,21.8,21.8,NA,1,21.63,21.63,NA,1,21.94,21.9283333333333,0.0278687399547707,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20080815",70,1.0126687,39675.6380559144,4671,137.85106299,54.17313488,24.25359236,18.3779226850354,18.3673702119038,14.93606984,17.6912854887569,19.0171188793454,-0.0793536941398261,1.17477558115071,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",9.4,"P",1.3,"P"
2008-08-23,"LS 7","08","236",22.362,0.583929219455006,0.9,0.516397779494322,22.665,10,22.51,22.51,NA,1,21.49,21.49,NA,1,21.47,21.47,NA,1,21.63,21.63,NA,1,22.75,22.7533333333333,0.0850098033562397,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20080823",6,1.0110754,39683.6402728125,14850,141.63443424,52.39040003,32.53887284,22.8510836446992,22.6840393411761,21.4439799200001,22.2751067873953,23.0898943312823,2.82829779775702,0.850196744451833,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",11.1,"F",0.800000000000001,"P"
2008-08-31,"LS 5","08","244",21.261,0.339720473330648,0.9,0.516397779494322,21.195,10,22.01,22.01,NA,1,21.49,21.49,NA,1,21.3,21.3,NA,1,20.63,20.63,NA,1,21.19,21.1966666666667,0.0121106014163887,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20080831",6,1.0092744,39691.6377624074,12726,143.34253844,49.79288004,29.75660456,21.4897117263192,21.4347745140361,18.87362888,21.2924732785684,21.8922211041752,2.43657706035849,0.705480269788846,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",10.9,"F",0.599999999999998,"P"
2008-09-08,"LS 7","09","252",21.327,0.224353391871942,0.9,0.516397779494322,21.355,10,21.51,21.51,NA,1,21.33,21.33,NA,1,21.63,21.63,NA,1,20.79,20.79,NA,1,21.325,21.335,0.0882609766544661,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20080908",12,1.0072977,39699.6401819444,9465,147.18656929,47.67072441,26.3625107,20.6004983798796,20.6949805647364,17.61921554,20.3253251455344,20.712763021946,1.44644378079162,0.528706854954515,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",8.8,"P",0.399999999999999,"P"
2008-10-10,"LS 7","10","284",14.82,0.04,0.5,0,14.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8,14.82,0.0400000000000002,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20081010",0,0.9983859,39731.6399206829,15002,156.32908491,36.99332606,20.19982064,14.906417045764,14.7002684153045,13.9721882,14.6866518469232,15.0370066715124,3.47941986907995,0.492436975263306,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",6.2,"P",0.300000000000001,"P"
2008-10-18,"LS 5","10","292",13.9,0.0244948974278318,0.5,0,13.905,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.905,13.9,0.0244948974278313,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20081018",9,0.9961141,39739.6367281944,16020,156.56749226,33.98145804,15.2539457,11.3570896730224,11.8424445857045,4.47009260000004,10.7831013054045,12.3677909092358,-1.3986457803761,1.62189240171129,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",10.8,"F",1.6,"P"
2008-10-26,"LS 7","10","300",12.0583333333333,0.191876696518017,0.666666666666667,0.408248290463863,11.98,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.98,12.0583333333333,0.191876696518017,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20081026",3,0.9939112,39747.6401120718,14882,159.20371333,31.67713164,16.81256282,11.9513012251924,11.9138516581599,10.46188166,11.8950366915673,11.9138516581599,3.45438564839651,0.442439150815626,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",6.3,"P",0,"P"
2008-11-27,"LS 7","11","332",4.69666666666667,0.0196638416050037,0.5,0,4.69,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.69,4.69666666666667,0.0196638416050038,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20081127",60,0.9866177,39779.6404206366,13582,160.83076556,23.21967927,6.97208324000002,3.58543873233699,3.82078565535685,-1.57638478000001,3.44754774628665,3.82078565535685,-1.49955637016946,0.689342667637462,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"F",8.6,"P",0.4,"P"
2009-05-22,"LS 7","05","142",14.41875,1.02851401129424,1.5,0,14.48,8,15.7,15.7,0,2,14.65,14.65,0.113137084989848,2,13.01,13.01,0,2,14.315,14.315,0.106066017177984,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20090522",7,1.0123974,39955.6412065278,14436,135.96067735,61.41612282,26.57784596,13.2227796316619,12.9248490743115,8.66400313999998,12.1471923080569,13.7521828034959,1.63545603450655,2.03422513159068,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",17.9,"F",1.7,"P"
2009-05-30,"LS 5","05","150",13.88875,0.663269768430829,1.5,0,14.085,8,14.59,14.59,0,2,12.95,12.95,0.113137084989848,2,14.24,14.24,0,2,13.775,13.775,0.219203102167831,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20090530",50,1.0137994,39963.6395335764,9691,133.12551622,62.15374484,26.7726731,16.1608358793774,15.9458778619191,14.63528408,15.2951052637902,16.5913995140258,2.10810549068616,1.4844262043681,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",12.2,"F",1.3,"P"
2009-09-03,"LS 5","09","246",21.6957142857143,0.760078075804506,1.28571428571429,0.256776295506548,21.41,14,21.17,21.17,0,2,21.41,21.41,0.113137084989849,2,20.725,20.725,0.120208152801711,2,21.045,21.045,0.120208152801718,2,22.5,22.5066666666667,0.122746350930147,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20090903",53,1.0086151,40059.6406263889,6199,145.83840504,49.46065009,23.74430738,12.5127382882744,12.0813845247191,7.14298424000003,10.692535426535,14.269494510246,0.485958369403774,2.45688754618062,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",16.6,"F",3.6,"F"
2009-09-19,"LS 5","09","262",17.7871428571429,0.211166306003605,1.28571428571429,0.256776295506548,17.89,14,17.61,17.61,0,2,17.51,17.51,0.113137084989849,2,17.89,17.89,0,2,17.56,17.56,0,2,17.975,17.98,0.0244948974278339,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20090919",14,1.0044302,40075.6407741204,9874,151.19207559,44.38442029,18.93173522,16.2745234047203,16.6960002208793,11.36423894,15.8099703151617,16.8390970454668,-1.44174367543249,0.96747830551488,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",7.5,"P",1,"P"
2009-10-05,"LS 5","10","278",15.2783333333333,0.0204124145231934,1,0,15.27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.27,15.2783333333333,0.0204124145231939,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20091005",66,0.9998961,40091.6409036806,4706,155.65796847,38.96546805,18.46346648,14.3155437876426,14.4283163203794,10.6054385,13.8249288933894,15.0291632062673,-0.230232519325587,0.84567937068632,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",7.9,"P",1.2,"P"
2009-10-21,"LS 5","10","294",11.4816666666667,0.0343025752191677,1,0,11.49,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.49,11.4816666666667,0.0343025752191676,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20091021",36,0.9953496,40107.6410132639,12535,158.89959364,33.53601388,16.75103846,10.9809725959893,10.8558550587859,9.55268834000003,10.7277062176489,11.4931663004013,2.10581588181379,0.826121629622709,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",7.2,"P",0.800000000000001,"P"
2009-11-22,"LS 5","11","326",8.52666666666667,0.0458984386081559,1,0,8.535,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.535,8.52666666666667,0.045898438608156,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20091122",27,0.9875894,40139.6411766204,17133,161.29596051,24.42046622,11.13864962,7.53941309158919,7.71726061616353,6.17910260000002,7.30363799415835,7.86074972863716,1.89161179828334,0.435949526279449,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",4.9,"P",0.600000000000001,"P"
2010-06-02,"LS 5","06","153",20.43,0.742308710862416,1.2,0.258198889747161,20.9,10,19.71,19.71,NA,1,20.67,20.67,NA,1,18.86,18.86,NA,1,19.66,19.66,NA,1,20.9,20.9,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20100602",4,1.0142216,40331.6413813542,15474,133.53642009,62.74109899,32.38506194,21.7218200456108,21.6659841502305,19.12656236,21.0056167179811,22.4600500585776,1.7017223192215,1.28772003620587,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",13.3,"F",1.5,"P"
2010-06-18,"LS 5","06","169",18.861,0.868925901456633,1.2,0.258198889747161,19.515,10,18.09,18.09,NA,1,17.91,17.91,NA,1,17.89,17.89,NA,1,17.56,17.56,NA,1,19.52,19.5266666666667,0.0216024689946942,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20100618",5,1.0160488,40347.6413324306,16910,130.6832996,63.26365956,29.20972136,17.3122145216962,17.4470341833561,10.42428344,16.2276363803803,18.6490158989998,0.343562801164239,2.48486405235,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",18.8,"F",2.4,"P"
2010-07-12,"LS 7","07","193",25.39,0.461591449949701,1.2,0.258198889747161,25.585,10,25.59,25.59,NA,1,25.07,25.07,NA,1,25.56,25.56,NA,1,24.16,24.16,NA,1,25.59,25.5866666666667,0.0163299316185583,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20100712",25,1.0165742,40371.6424396065,5707,131.44896681,61.67453959,32.82598652,25.4736171376318,25.5209103139971,18.40877816,25.0811899243487,26.3808875646237,-0.557954749145236,1.45803028835599,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",14.4,"F",1.3,"P"
2010-08-29,"LS 7","08","241",21.538,0.358571238854057,1.2,0.258198889747161,21.725,10,21.67,21.67,NA,1,21.49,21.49,NA,1,20.97,20.97,NA,1,20.79,20.79,NA,1,21.74,21.7433333333333,0.0216024689946905,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20100829",0,1.0098616,40419.642474213,14770,144.92147483,51.2765677,32.36455382,21.8529374521882,21.7647373672882,20.52795056,21.356299938511,22.1732389861498,3.01197260389448,1.13509164652361,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",11.9,"F",0.800000000000001,"P"
2010-09-06,"LS 5","09","249",20.533,0.844104390595277,1.2,0.258198889747161,19.975,10,21.84,21.84,NA,1,21.99,21.99,NA,1,20.97,20.97,NA,1,20.96,20.96,NA,1,19.94,19.9283333333333,0.0538206899497439,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20100906",28,1.0079366,40427.6410730671,14013,146.95940977,48.65947916,25.96260236,20.5687717832755,20.7302886920732,16.5938095400001,20.1677607516064,21.1431994823613,-0.716717353415646,0.871840579800551,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",9.4,"P",0.900000000000002,"P"
2010-09-14,"LS 7","09","257",18.24,0.855258245599927,1.2,0.258198889747161,17.635,10,19.54,19.54,NA,1,19.04,19.04,NA,1,19.51,19.51,NA,1,18.69,18.69,NA,1,17.605,17.6033333333333,0.0338624669312027,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20100914",61,1.00586,40435.6424882407,8017,150.31899714,46.3166553,22.04213342,17.8233582849738,18.3313615469741,10.57809434,17.9376341907775,18.7270467207004,-2.01837626161577,1.40233047332343,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",11.4,"F",0.800000000000001,"P"
2010-10-08,"LS 5","10","281",14.9033333333333,0.0273252020425583,1,0,14.895,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.895,14.9033333333333,0.027325202042558,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20101008",3,0.9991087,40459.6409143981,17134,156.24245596,37.99198895,20.28527114,15.1687660380416,15.167480640524,14.43020288,15.0306871462851,15.167480640524,3.09904029412746,0.47598560589327,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",5.9,"P",0.199999999999999,"P"
2011-05-12,"LS 7","05","132",10.65,0.0309838667696587,0.5,0,10.63,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.63,10.65,0.0309838667696584,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20110512",25,1.0102063,40675.6433872685,13934,139.95139381,59.86502579,23.46402974,11.5257816910676,11.4282530200123,8.29485698000002,10.6583418599738,12.1804486080704,2.04394719687444,1.60641882130864,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",15.2,"F",1.5,"P"
2011-06-21,"LS 5","06","172",21.21,0.638887922704584,0.92,0.559364719024081,21.47,10,21.18,21.18,NA,1,21.83,21.83,NA,1,20.32,20.32,NA,1,19.83,19.83,NA,1,21.53,21.49,0.15582040944626,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20110621",3,1.0162461,40715.6404082986,17134,129.85707336,63.01580496,30.6692159,21.3050789216996,21.0698739943266,19.70762576,20.3195853211377,21.6755578083453,1.96196133330222,1.24762975544939,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",11,"F",1.4,"P"
2011-06-29,"LS 7","06","180",20.642,0.89981232611152,0.92,0.559364719024081,20.87,10,22.01,22.01,NA,1,19.86,19.86,NA,1,18.7,18.7,NA,1,21.13,21.13,NA,1,20.87,20.7866666666667,0.365768597157638,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20110629",49,1.0166218,40723.6433432755,13846,131.1982263,63.20412934,32.10136628,22.27654857565,22.1210255756404,20.3638856,21.6777587649715,22.5617032214557,2.17420181699859,1.1070174852699,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",11.7,"F",0.900000000000002,"P"
2011-07-07,"LS 5","07","188",23.496,0.740483325643161,0.92,0.559364719024081,23.6,10,24.21,24.21,NA,1,24.38,24.38,NA,1,21.64,21.64,NA,1,23.13,23.13,NA,1,23.6,23.6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20110707",16,1.0166933,40731.6403385069,4976,129.69343806,61.86865653,28.4475029,22.2736611409249,21.9386628560129,20.06309984,21.7942194779939,22.5525610315896,1.11599977084399,0.952383236122047,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",8.3,"P",0.800000000000001,"P"
